,nom_mun,qtd_dom,qtd_dom_E1,qtd_dom_E2,qtd_dom_T1,qtd_0a11,qtd_0a11_pob_vul
2243,Abadia dos Dourados,2340,22,63,42,1061,482
2244,Abaeté,7862,40,154,76,3664,1273
2245,Abre Campo,4102,120,237,103,2357,1488
2246,Acaiaca,1264,32,44,6,652,249
2247,Açucena,3061,146,204,140,1973,1509
2248,Água Boa,4203,362,450,267,3504,2631
2249,Água Comprida,725,4,19,7,285,109
2250,Aguanil,1367,29,28,24,644,297
2251,Águas Formosas,5357,207,332,183,3734,2239
2252,Águas Vermelhas,3474,240,260,16,2625,1849
2253,Aimorés,8369,138,228,69,4166,1538
2254,Aiuruoca,2107,67,122,30,911,558
2255,Alagoa,875,18,63,4,401,228
2256,Albertina,913,11,51,53,472,245
2257,Além Paraíba,11295,126,307,150,5594,1898
2258,Alfenas,23560,210,210,56,12041,2770
2259,Alfredo Vasconcelos,1781,32,53,14,1093,462
2260,Almenara,11750,302,678,240,7237,4024
2261,Alpercata,2255,45,102,7,1433,736
2262,Alpinópolis,5732,105,95,87,3092,964
2263,Alterosa,4602,94,69,76,2293,792
2264,Alto Caparaó,1761,60,88,63,934,398
2265,Alto Rio Doce,3675,130,202,103,1890,1317
2266,Alvarenga,1411,43,106,15,759,447
2267,Alvinópolis,4689,95,186,20,2478,1025
2268,Alvorada de Minas,969,58,113,38,922,805
2269,Amparo do Serra,1480,53,98,36,856,593
2270,Andradas,12332,192,209,232,5771,1917
2271,Cachoeira de Pajeú,2559,95,245,57,1889,1552
2272,Andrelândia,4043,47,68,26,1904,631
2273,Angelândia,2114,73,248,153,2036,1483
2274,Antônio Carlos,3477,65,127,15,1756,720
2275,Antônio Dias,2886,97,177,37,1810,1111
2276,Antônio Prado de Minas,556,7,29,4,221,97
2277,Araçaí,719,6,13,4,383,176
2278,Aracitaba,701,8,27,0,287,106
2279,Araçuaí,10178,478,619,270,6888,4466
2280,Araguari,35874,334,318,259,17330,3729
2281,Arantina,932,2,14,3,490,59
2282,Araponga,2385,179,207,108,1582,1300
2283,Araporã,1796,1,9,0,1157,154
2284,Arapuá,995,11,17,17,366,64
2285,Araújos,2484,46,29,45,1472,324
2286,Araxá,29694,190,236,97,15013,1993
2287,Arceburgo,2916,23,68,30,1562,417
2288,Arcos,11755,94,60,31,5363,639
2289,Areado,4545,42,53,29,2260,564
