municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_atraso_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis
Abadia dos Dourados,2340,22,63,42,1061,482
Abaeté,7862,40,154,76,3664,1273
Abre Campo,4102,120,237,103,2357,1488
Acaiaca,1264,32,44,6,652,249
Açucena,3061,146,204,140,1973,1509
Água Boa,4203,362,450,267,3504,2631
Água Comprida,725,4,19,7,285,109
Aguanil,1367,29,28,24,644,297
Águas Formosas,5357,207,332,183,3734,2239
Águas Vermelhas,3474,240,260,16,2625,1849
Aimorés,8369,138,228,69,4166,1538
Aiuruoca,2107,67,122,30,911,558
Alagoa,875,18,63,4,401,228
Albertina,913,11,51,53,472,245
Além Paraíba,11295,126,307,150,5594,1898
Alfenas,23560,210,210,56,12041,2770
Alfredo Vasconcelos,1781,32,53,14,1093,462
Almenara,11750,302,678,240,7237,4024
Alpercata,2255,45,102,7,1433,736
Alpinópolis,5732,105,95,87,3092,964
Alterosa,4602,94,69,76,2293,792
Alto Caparaó,1761,60,88,63,934,398
Alto Rio Doce,3675,130,202,103,1890,1317
Alvarenga,1411,43,106,15,759,447
Alvinópolis,4689,95,186,20,2478,1025
Alvorada de Minas,969,58,113,38,922,805
Amparo do Serra,1480,53,98,36,856,593
Andradas,12332,192,209,232,5771,1917
Cachoeira de Pajeú,2559,95,245,57,1889,1552
Andrelândia,4043,47,68,26,1904,631
Angelândia,2114,73,248,153,2036,1483
Antônio Carlos,3477,65,127,15,1756,720
Antônio Dias,2886,97,177,37,1810,1111
Antônio Prado de Minas,556,7,29,4,221,97
Araçaí,719,6,13,4,383,176
Aracitaba,701,8,27,0,287,106
Araçuaí,10178,478,619,270,6888,4466
Araguari,35874,334,318,259,17330,3729
Arantina,932,2,14,3,490,59
Araponga,2385,179,207,108,1582,1300
Araporã,1796,1,9,0,1157,154
Arapuá,995,11,17,17,366,64
Araújos,2484,46,29,45,1472,324
Araxá,29694,190,236,97,15013,1993
Arceburgo,2916,23,68,30,1562,417
Arcos,11755,94,60,31,5363,639
Areado,4545,42,53,29,2260,564
Argirita,938,22,28,8,442,166
Aricanduva,1309,72,116,89,1104,864
Arinos,5261,190,336,216,3979,2642
Astolfo Dutra,4131,89,75,53,2018,760
Ataléia,4420,153,363,179,2810,2012
Augusto de Lima,1520,48,68,33,952,698
Baependi,5759,129,190,86,2973,1289
Baldim,2575,52,62,36,1390,722
Bambuí,8152,77,87,35,2996,694
Bandeira,1520,19,119,40,887,640
Bandeira do Sul,1719,28,26,11,838,174
Barão de Cocais,8514,33,254,59,5207,1247
Barão de Monte Alto,1773,19,55,19,898,323
Barbacena,40590,276,661,181,19571,4681
Barra Longa,1946,62,62,29,966,719
Barroso,6151,41,88,16,3356,699
Bela Vista de Minas,2890,32,78,30,1879,602
Belmiro Braga,1089,4,80,14,611,341
Belo Horizonte,768685,3153,5539,1968,347804,44869
Belo Oriente,6794,93,224,92,4757,1774
Belo Vale,2474,67,137,32,1153,673
Berilo,3305,118,326,64,2368,1742
Bertópolis,1277,85,87,51,997,757
Berizal,1252,56,97,12,883,667
Betim,113785,1089,1848,499,72464,14798
Bias Fortes,1209,18,44,35,590,333
Bicas,4656,33,68,4,2085,510
Biquinhas,978,25,37,8,352,226
Boa Esperança,11728,111,260,95,6768,2101
Bocaina de Minas,1791,31,95,43,769,485
Bocaiúva,13585,326,412,141,9198,4307
Bom Despacho,14653,115,124,53,7773,1420
Bom Jardim de Minas,2249,12,79,25,1029,339
Bom Jesus da Penha,1359,17,8,19,588,241
Bom Jesus do Amparo,1591,40,69,17,952,500
Bom Jesus do Galho,4868,182,165,106,2641,1519
Bom Repouso,3258,108,131,118,1787,1014
Bom Sucesso,5483,64,156,36,2731,916
Bonfim,2474,39,136,41,868,521
Bonfinópolis de Minas,1912,49,56,30,1079,409
Bonito de Minas,2287,252,285,159,2291,2009
Borda da Mata,5590,85,81,54,2596,728
Botelhos,5039,73,83,47,2386,843
Botumirim,1743,110,154,60,1437,1136
Brasilândia de Minas,4081,114,223,107,3269,1865
Brasília de Minas,8605,418,373,158,5979,3709
Brás Pires,1492,51,50,18,795,522
Braúnas,1429,42,116,48,849,599
Brazópolis,4782,76,172,59,2384,942
Brumadinho,10726,143,294,138,5628,1955
Bueno Brandão,3651,90,84,86,1644,896
Buenópolis,3131,115,204,70,1741,1017
Bugre,1241,37,49,11,717,543
Buritis,7023,230,519,210,4986,3019
Buritizeiro,7544,335,521,133,6101,3814
Cabeceira Grande,2148,71,112,67,1380,835
Cabo Verde,4347,145,90,55,2248,1064
Cachoeira da Prata,1116,5,7,6,526,70
Cachoeira de Minas,3476,68,38,40,1942,770
Cachoeira Dourada,786,0,0,0,437,46
Caetanópolis,3216,72,76,22,1521,596
Caeté,12091,141,243,46,7179,2532
Caiana,1576,49,64,41,957,646
Cajuri,1202,44,58,22,649,340
Caldas,4784,103,131,83,2056,1044
Camacho,989,24,31,5,534,284
Camanducaia,7061,252,134,166,3780,1465
Cambuí,9133,85,88,44,3947,864
Cambuquira,4109,60,150,45,2080,887
Campanário,1039,38,78,22,700,414
Campanha,4844,113,181,79,2686,1259
Campestre,6819,265,237,298,3295,1656
Campina Verde,6791,168,80,105,2956,1077
Campo Azul,1026,27,57,55,768,628
Campo Belo,17427,166,209,99,8058,1758
Campo do Meio,3613,52,71,35,1983,650
Campo Florido,2206,37,84,43,1378,631
Campos Altos,4379,89,134,67,2821,866
Campos Gerais,8657,174,349,236,5229,2721
Canaã,1454,38,43,23,709,473
Canápolis,3722,30,63,11,1783,430
Cana Verde,1849,14,41,15,899,281
Candeias,5090,50,95,67,1945,903
Cantagalo,1191,65,121,41,851,622
Caparaó,1591,95,72,65,1101,789
Capela Nova,1454,36,89,28,702,510
Capelinha,10020,423,564,306,7836,4694
Capetinga,2347,33,58,29,1275,436
Capim Branco,2691,27,110,24,1541,704
Capinópolis,5057,50,68,30,2640,606
Capitão Andrade,1583,30,49,33,1017,561
Capitão Enéas,3678,191,278,53,3205,2126
Capitólio,2795,21,54,36,1235,411
Caputira,2649,109,160,72,1836,1301
Caraí,5871,364,661,265,5365,4249
Caranaíba,909,19,79,11,547,335
Carandaí,6888,85,123,99,3905,1262
Carangola,11158,136,169,197,5382,1946
Caratinga,27248,660,457,319,15173,5401
Carbonita,3005,19,140,58,1751,812
Careaçu,1996,20,42,6,1132,330
Carlos Chagas,6308,203,312,101,3364,1434
Carmésia,752,10,44,19,467,263
Carmo da Cachoeira,3518,89,201,42,2275,1059
Carmo da Mata,3537,77,56,24,1714,508
Carmo de Minas,3957,66,163,32,2709,1194
Carmo do Cajuru,6380,42,111,75,3325,685
Carmo do Paranaíba,10138,154,207,130,4830,1267
Carmo do Rio Claro,6653,88,27,82,3328,1185
Carmópolis de Minas,5055,105,131,173,2833,943
Carneirinho,3286,43,51,61,1535,595
Carrancas,1233,22,36,17,656,288
Carvalhópolis,1101,5,29,18,579,187
Carvalhos,1537,56,69,13,622,379
Casa Grande,615,20,21,6,377,228
Cascalho Rico,1045,14,18,18,466,247
Cássia,5809,89,123,78,2888,925
Conceição da Barra de Minas,1215,40,22,7,643,316
Cataguases,23334,165,418,43,10406,2424
Catas Altas,1438,10,44,9,896,250
Catas Altas da Noruega,910,30,94,34,609,470
Catuji,1796,111,263,63,1642,1351
Catuti,1488,48,73,68,1037,799
Caxambu,7190,68,140,39,3337,841
Cedro do Abaeté,445,8,12,9,197,111
Central de Minas,2330,52,74,42,1149,457
Centralina,3245,99,74,57,1667,856
Chácara,965,7,39,1,427,222
Chalé,1829,59,73,60,979,638
Chapada do Norte,3705,180,516,81,3402,2787
Chapada Gaúcha,2563,121,282,197,2695,2040
Chiador,885,14,42,4,495,206
Cipotânea,1840,127,114,71,1052,794
Claraval,1445,45,48,31,830,385
Claro dos Poções,2420,65,54,63,1327,772
Cláudio,7835,91,165,69,4369,982
Coimbra,2366,31,92,38,1198,606
Coluna,2533,171,226,87,1924,1531
Comendador Gomes,1002,15,12,34,562,301
Comercinho,2399,89,204,121,1617,1290
Conceição da Aparecida,3211,56,46,57,1778,972
Conceição das Pedras,855,23,22,0,415,201
Conceição das Alagoas,7181,53,236,47,4530,1385
Conceição de Ipanema,1458,31,29,56,729,540
Conceição do Mato Dentro,5122,145,396,132,3649,2419
Conceição do Pará,1654,36,20,22,886,319
Conceição do Rio Verde,4038,119,159,47,2448,998
Conceição dos Ouros,3226,18,46,29,1893,508
Cônego Marinho,1829,73,194,106,1448,1222
Confins,1714,27,50,10,992,354
Congonhal,3481,61,72,78,1550,468
Congonhas,14143,63,310,37,8305,2008
Congonhas do Norte,1449,91,117,17,979,737
Conquista,2120,12,40,10,1094,283
Conselheiro Lafaiete,35450,310,667,122,18375,3296
Conselheiro Pena,7533,128,292,100,4016,1592
Consolação,563,21,8,17,269,162
Contagem,187429,1310,2115,588,100940,15460
Coqueiral,2894,45,103,20,1606,729
Coração de Jesus,7767,356,327,434,5022,3910
Cordisburgo,2716,79,81,33,1322,873
Cordislândia,1095,23,41,13,650,247
Corinto,7429,129,290,29,4385,2067
Coroaci,2997,124,179,78,1831,1321
Coromandel,9761,135,245,117,4321,1708
Coronel Fabriciano,31912,330,549,127,17752,4474
Coronel Murta,2538,53,111,67,1690,1152
Coronel Pacheco,927,11,42,6,436,200
Coronel Xavier Chaves,996,17,59,9,529,257
Córrego Danta,1216,13,23,2,512,247
Córrego do Bom Jesus,1299,16,19,6,522,238
Córrego Fundo,1818,30,37,10,958,389
Córrego Novo,998,20,18,19,581,264
Couto de Magalhães de Minas,1234,22,42,2,770,262
Crisólita,1757,98,120,48,1356,943
Cristais,3749,99,69,31,1947,647
Cristália,1489,89,101,34,1606,1150
Cristiano Otoni,1417,13,45,10,934,368
Cristina,3131,65,98,66,1699,891
Crucilândia,1614,27,63,45,748,332
Cruzeiro da Fortaleza,1246,26,44,7,732,254
Cruzília,4572,43,181,67,2364,760
Cuparaque,1571,29,41,20,887,366
Curral de Dentro,1961,79,171,27,1557,1049
Curvelo,23067,295,760,181,13102,5107
Datas,1408,60,113,53,997,517
Delfim Moreira,2446,98,146,68,1331,778
Delfinópolis,2250,45,40,21,1234,417
Delta,2619,53,80,20,1753,440
Descoberto,1596,37,40,12,767,238
Desterro de Entre Rios,2363,44,72,29,1005,544
Desterro do Melo,971,18,60,36,421,259
Diamantina,13031,313,615,210,8285,3850
Diogo de Vasconcelos,1182,53,95,28,701,540
Dionísio,2660,20,50,11,1361,564
Divinésia,1043,30,24,18,593,272
Divino,6170,222,276,236,3870,2449
Divino das Laranjeiras,1602,23,51,17,885,434
Divinolândia de Minas,1929,80,129,68,1358,814
