Índice de Gini da renda domiciliar per capita segundo Município - Minas Gerais;;;
Período: 1991, 2000 e 2010;;;
Município;1991;2000;2010
310010 Abadia dos Dourados;0,457;0,511;0,4738
310020 Abaeté;0,5179;0,5862;0,551
310030 Abre Campo;0,5144;0,516;0,5225
310040 Acaiaca;0,5917;0,5547;0,4821
310050 Açucena;0,5504;0,5569;0,4955
310060 Água Boa;0,5484;0,6459;0,5018
310070 Água Comprida;0,4497;0,4752;0,4474
310080 Aguanil;0,433;0,4907;0,4662
310090 Águas Formosas;0,6294;0,6535;0,5774
310100 Águas Vermelhas;0,5715;0,6074;0,5209
310110 Aimorés;0,5633;0,57;0,5328
310120 Aiuruoca;0,5505;0,6341;0,4888
310130 Alagoa;0,6179;0,537;0,4212
310140 Albertina;0,4023;0,3867;0,3474
310150 Além Paraíba;0,5537;0,5682;0,5013
310160 Alfenas;0,5617;0,5775;0,5143
310163 Alfredo Vasconcelos;...;0,5216;0,4113
310170 Almenara;0,665;0,6704;0,5409
310180 Alpercata;0,44;0,5248;0,4758
310190 Alpinópolis;0,5347;0,485;0,47
310200 Alterosa;0,4854;0,4861;0,4527
310205 Alto Caparaó;...;0,6106;0,4568
315350 Alto Jequitibá;0,5491;0,4789;0,5113
310210 Alto Rio Doce;0,5496;0,5854;0,4683
310220 Alvarenga;0,522;0,5813;0,5258
310230 Alvinópolis;0,6126;0,5527;0,4631
310240 Alvorada de Minas;0,5412;0,7415;0,6221
310250 Amparo do Serra;0,5202;0,5483;0,4617
310260 Andradas;0,482;0,5554;0,4464
310280 Andrelândia;0,6083;0,6234;0,5153
310285 Angelândia;...;0,6365;0,5286
310290 Antônio Carlos;0,5221;0,5482;0,4795
310300 Antônio Dias;0,519;0,5417;0,4887
310310 Antônio Prado de Minas;0,5106;0,5356;0,4705
310320 Araçaí;0,4719;0,4978;0,4315
310330 Aracitaba;0,5674;0,5164;0,4429
310340 Araçuaí;0,5397;0,6227;0,5748
310350 Araguari;0,5337;0,5519;0,4786
310360 Arantina;0,4818;0,4279;0,4232
310370 Araponga;0,5714;0,506;0,4418
310375 Araporã;...;0,5911;0,4183
310380 Arapuá;0,5061;0,5319;0,4573
310390 Araújos;0,4664;0,4327;0,361
310400 Araxá;0,5376;0,5664;0,4844
310410 Arceburgo;0,4871;0,4627;0,3794
310420 Arcos;0,5148;0,5234;0,4372
310430 Areado;0,5005;0,5162;0,4518
310440 Argirita;0,5084;0,5234;0,3892
310445 Aricanduva;...;0,5608;0,5045
310450 Arinos;0,5442;0,6698;0,5531
310460 Astolfo Dutra;0,5668;0,4901;0,4175
310470 Ataléia;0,5489;0,6308;0,492
310480 Augusto de Lima;0,4317;0,5221;0,4268
310490 Baependi;0,6632;0,5416;0,5054
310500 Baldim;0,4967;0,5304;0,4635
310510 Bambuí;0,5191;0,488;0,4924
310520 Bandeira;0,4992;0,5817;0,46
310530 Bandeira do Sul;0,4028;0,4241;0,3364
310540 Barão de Cocais;0,4869;0,4895;0,4317
310550 Barão de Monte Alto;0,4945;0,5035;0,5039
310560 Barbacena;0,5841;0,573;0,5962
310570 Barra Longa;0,5425;0,5216;0,4878
310590 Barroso;0,5187;0,5546;0,4946
310600 Bela Vista de Minas;0,4572;0,4898;0,4125
310610 Belmiro Braga;0,5906;0,4875;0,4543
310620 Belo Horizonte;0,6107;0,6203;0,6106
310630 Belo Oriente;0,466;0,5109;0,4383
310640 Belo Vale;0,4693;0,5022;0,4699
310650 Berilo;0,5339;0,5027;0,4606
310665 Berizal;...;0,573;0,4253
310660 Bertópolis;0,5599;0,5647;0,5442
310670 Betim;0,5332;0,5234;0,484
310680 Bias Fortes;0,4656;0,4524;0,4184
310690 Bicas;0,5831;0,5691;0,5489
310700 Biquinhas;0,5615;0,4645;0,4126
310710 Boa Esperança;0,63;0,5835;0,4811
310720 Bocaina de Minas;0,5503;0,5502;0,4404
310730 Bocaiúva;0,6232;0,557;0,5168
310740 Bom Despacho;0,5314;0,5634;0,4933
310750 Bom Jardim de Minas;0,555;0,5132;0,4719
310760 Bom Jesus da Penha;0,516;0,6706;0,4282
310770 Bom Jesus do Amparo;0,5548;0,6089;0,4577
310780 Bom Jesus do Galho;0,5243;0,5031;0,5047
310790 Bom Repouso;0,4559;0,6855;0,4503
310800 Bom Sucesso;0,5514;0,5769;0,4995
310810 Bonfim;0,4964;0,5064;0,4988
310820 Bonfinópolis de Minas;0,572;0,6056;0,4784
310825 Bonito de Minas;...;0,707;0,5708
310830 Borda da Mata;0,5028;0,5348;0,4633
310840 Botelhos;0,5968;0,5921;0,4707
310850 Botumirim;0,5098;0,6022;0,4629
310870 Brás Pires;0,5364;0,5416;0,4487
310855 Brasilândia de Minas;...;0,6445;0,4433
310860 Brasília de Minas;0,5655;0,6213;0,5418
310890 Brasópolis;0,563;0,6282;0,5416
310880 Braúnas;0,5646;0,5994;0,5589
310900 Brumadinho;0,5814;0,5696;0,572
310910 Bueno Brandão;0,4725;0,5425;0,4456
310920 Buenópolis;0,5674;0,6464;0,4991
310925 Bugre;...;0,6096;0,4376
310930 Buritis;0,5386;0,7157;0,572
310940 Buritizeiro;0,5438;0,5376;0,4269
310945 Cabeceira Grande;...;0,5332;0,4826
310950 Cabo Verde;0,5808;0,5912;0,4505
310960 Cachoeira da Prata;0,5439;0,4811;0,4355
310970 Cachoeira de Minas;0,5024;0,4647;0,4677
310270 Cachoeira de Pajeú;0,5551;0,5374;0,523
310980 Cachoeira Dourada;0,5274;0,581;0,3546
310990 Caetanópolis;0,4531;0,578;0,4259
311000 Caeté;0,509;0,5944;0,4649
311010 Caiana;0,5437;0,4933;0,421
311020 Cajuri;0,3863;0,5251;0,4354
311030 Caldas;0,6166;0,5509;0,4926
311040 Camacho;0,588;0,4116;0,4607
311050 Camanducaia;0,5102;0,5284;0,5103
311060 Cambuí;0,4577;0,492;0,4685
311070 Cambuquira;0,6007;0,595;0,5066
311080 Campanário;0,5831;0,5335;0,4514
311090 Campanha;0,5527;0,5599;0,5086
311100 Campestre;0,5424;0,5079;0,5248
311110 Campina Verde;0,5388;0,5942;0,5055
311115 Campo Azul;...;0,5863;0,4836
311120 Campo Belo;0,5581;0,5223;0,4752
311130 Campo do Meio;0,471;0,485;0,422
311140 Campo Florido;0,6472;0,5151;0,5251
311150 Campos Altos;0,568;0,5297;0,4052
311160 Campos Gerais;0,54;0,5166;0,4514
311190 Cana Verde;0,4503;0,4726;0,4336
311170 Canaã;0,5331;0,5755;0,5035
311180 Canápolis;0,4394;0,5123;0,5062
311200 Candeias;0,4698;0,5275;0,4831
311205 Cantagalo;...;0,6197;0,4204
311210 Caparaó;0,5618;0,4853;0,4431
311220 Capela Nova;0,5096;0,4353;0,4462
311230 Capelinha;0,5973;0,5753;0,5335
311240 Capetinga;0,4642;0,5393;0,4324
311250 Capim Branco;0,4963;0,4405;0,4063
311260 Capinópolis;0,5213;0,6017;0,5936
311265 Capitão Andrade;...;0,4653;0,5145
311270 Capitão Enéas;0,5588;0,5613;0,4724
311280 Capitólio;0,5456;0,4308;0,4049
311290 Caputira;0,4274;0,5739;0,5718
311300 Caraí;0,5173;0,5565;0,5365
311310 Caranaíba;0,455;0,4938;0,4423
311320 Carandaí;0,5837;0,5619;0,4786
311330 Carangola;0,5787;0,6304;0,4904
311340 Caratinga;0,5717;0,608;0,5466
311350 Carbonita;0,5216;0,5402;0,4701
311360 Careaçu;0,4918;0,5253;0,4077
311370 Carlos Chagas;0,6569;0,6254;0,5448
311380 Carmésia;0,54;0,5808;0,481
311390 Carmo da Cachoeira;0,5034;0,5365;0,4575
311400 Carmo da Mata;0,5459;0,5357;0,4043
311410 Carmo de Minas;0,6736;0,5588;0,4798
311420 Carmo do Cajuru;0,4553;0,4413;0,4463
311430 Carmo do Paranaíba;0,5266;0,5781;0,5113
311440 Carmo do Rio Claro;0,4498;0,7082;0,5201
311450 Carmópolis de Minas;0,5166;0,5675;0,4635
311455 Carneirinho;...;0,6011;0,5397
311460 Carrancas;0,6094;0,5911;0,5429
311470 Carvalhópolis;0,4483;0,377;0,4319
311480 Carvalhos;0,5106;0,4702;0,531
311490 Casa Grande;0,5139;0,4828;0,4035
